,0,1,2
fpp_RSC_L,0.47835560168730246,0.27446478114472306,0.004755933301663274
fpp_RSC_R,0.5521688837774014,0.159996803428797,0.044871704487941595
fpp_aMCC_i1_L,0.0018284462064105471,0.8843788627063992,0.03264587969282008
fpp_aMCC_i1_R,0.002628864403951935,0.8292813461551952,0.016756311253923628
fpp_aMCC_i2_L,0.12211233627176277,0.7882815067053349,0.008061834770518425
fpp_aMCC_i2_R,0.08690378274966544,0.7612800349191878,5.788741120578797e-05
fpp_aMCC_i3_L,0.35874481913976,0.5127033364947314,0.011295127808462197
fpp_aMCC_i3_R,0.372767624463252,0.508085864434298,0.018207231894639034
fpp_aMCC_s1_L,0.0013713238822585462,0.9182800759214798,0.10532799271693279
fpp_aMCC_s1_R,0.09848662134859906,0.7506628537183802,0.10180294497836606
fpp_aMCC_s2_L,0.07260590149327083,0.752057962517327,0.20117570170912236
fpp_aMCC_s2_R,0.004103521577482288,0.7245722660089432,0.29588493530096954
fpp_aMCC_s3_L,0.5578669975107051,0.33247969587642523,0.061720948119370504
fpp_aMCC_s3_R,0.48151274284889906,0.19845531466780694,0.11131611366705563
fpp_dPCC_i1_L,0.38041026674432027,0.2589452685451977,0.020235789903840923
fpp_dPCC_i1_R,0.42486050613403814,0.2647758908803491,0.005805097691299227
fpp_dPCC_i2_L,0.6299961854889253,0.042793331797623464,0.034212073203712286
fpp_dPCC_i2_R,0.6671043011479881,0.008901986377236043,1.2431505949866128e-07
fpp_dPCC_i3_L,0.827666557179258,4.9612670174398613e-05,0.006994710011475063
fpp_dPCC_i3_R,0.8275321477850249,0.003866984732432594,6.246330367838233e-07
fpp_dPCC_s1_L,0.005450981085708761,0.034088073043618355,0.16132022328427492
fpp_dPCC_s1_R,0.006601154330464485,0.035602321078812886,0.07839520538713914
fpp_dPCC_s2_L,0.6046573931071609,0.07233553364234957,0.13035448600479088
fpp_dPCC_s2_R,0.6758066061300781,0.031045256454862735,0.028003244318158902
fpp_dPCC_s3_L,0.8243091115868635,0.016138197274990298,0.014037500282401328
fpp_dPCC_s3_R,0.8135600655916471,0.05351299268248781,0.0008612298089256721
fpp_dPCC_s5_L,0.8249123101619026,0.008796988746535625,0.0004975729398113686
fpp_dPCC_s5_R,0.8156625338595668,0.06961892248692436,0.0009576505320127591
fpp_pMCC_i1_L,0.37304032266020914,0.3435479990384882,0.10104388018702659
fpp_pMCC_i1_R,0.38813398261690524,0.4358746398552642,0.024283475625276767
fpp_pMCC_i2_L,0.0032666103533135196,0.6011112128454965,0.03935117517703649
fpp_pMCC_i2_R,0.0037771441341603925,0.3893562346923008,0.11418088781266734
fpp_pMCC_i3_L,0.06893259973330977,0.6806747311225771,0.06341504195699359
fpp_pMCC_i3_R,0.05051664031586261,0.5259466443817397,0.0042346608591419515
fpp_pMCC_s1_L,0.8677836793666459,0.03074621674623525,0.043071238270133476
fpp_pMCC_s1_R,0.8871978438509834,0.027431996577744165,0.012798988305433802
fpp_pMCC_s2_L,0.3881456678330898,0.09585192676544974,0.28268510223034526
fpp_pMCC_s2_R,0.6859919291741745,0.01839828291855945,0.19236748269553677
fpp_pMCC_s3_L,0.23859737918581342,0.03276547284513577,0.18223225071137597
fpp_pMCC_s3_R,0.2541954488902014,0.07063825128762419,0.26122346378096645
fpp_pgACC_i1_L,0.12484069252674948,0.5002009938000858,0.008127068312589043
fpp_pgACC_i1_R,0.29494528375312623,0.4550070702685052,0.0020436514956492795
fpp_pgACC_i2_L,0.08710753107208072,0.6959720615613387,0.018373018279923298
fpp_pgACC_i2_R,0.1901885766654399,0.5573410776884627,0.001403311398193948
fpp_pgACC_s2_L,0.10668921816085221,0.6859401522947052,0.009098946221516602
fpp_pgACC_s2_R,0.5941222959333293,0.22270664403871118,0.024914684106507507
fpp_pgACC_s3_L,0.0321958325837802,0.7882606425881498,0.01724364371940478
fpp_pgACC_s3_R,0.22455503756201314,0.5745460744198525,0.034550854028907334
fpp_sgACC_i1_L,0.26952413567741923,0.3106404035473694,0.004684505517202132
fpp_sgACC_i1_R,0.36415597640593206,0.24015712623672714,0.0031541579468168167
fpp_sgACC_i2_L,0.3275573291611707,0.2940855535939859,0.004757715586620187
fpp_sgACC_i2_R,0.2929956600017709,0.4229997380428182,0.0024191141815503225
fpp_vPCC_i1_L,0.6595464935624107,0.1099581933278448,0.025361710471808303
fpp_vPCC_i1_R,0.8096995203341447,0.014527228478617695,0.005436683373169467
fpp_vPCC_s1_L,0.7203172287592904,0.07508845164788251,0.02791534224982789
fpp_vPCC_s1_R,0.7734624712137949,0.04237276555361523,0.015924671876334593
fpp_vPCC_s2_L,0.5098031753466755,0.18176429456382776,0.013180519304755205
fpp_vPCC_s2_R,0.6015277020879303,0.11331662451078049,0.01603966964248235
icaNet_RSC_L,0.5213671938109445,0.3357555028666292,0.029066556425568862
icaNet_RSC_R,0.005329766920656743,0.6515386676325993,0.2292791494805118
icaNet_aMCC_i1_L,0.11691432045261387,0.5713366189445808,0.39474061833097523
icaNet_aMCC_i1_R,0.08398687654990888,0.5689849593890813,0.4514592923698005
icaNet_aMCC_i2_L,0.5081996696065681,0.38208590961560585,0.10294333187265103
icaNet_aMCC_i2_R,0.43164268021383667,0.42142797089991085,0.1457741860469953
icaNet_aMCC_i3_L,0.8707776330875137,0.0008511263143088626,0.14142653176042366
icaNet_aMCC_i3_R,0.911290931269272,0.003250091338998228,0.09448003760302445
icaNet_aMCC_s1_L,0.00021108926646851405,0.690773468653677,0.6483409149548935
icaNet_aMCC_s1_R,0.0041194428060386075,0.6361437561959561,0.6444972239511605
icaNet_aMCC_s2_L,0.014854635637025536,0.7136136298768821,0.5787127544978794
icaNet_aMCC_s2_R,0.10612302380547482,0.5369852772888672,0.4620151490813602
icaNet_aMCC_s3_L,0.8880815848981108,0.07789764691984918,0.0016105519002250484
icaNet_aMCC_s3_R,0.8503406803954974,0.001904310506679775,0.013720551776310255
icaNet_dPCC_i1_L,0.4968573106896951,0.015890558325333752,0.12860993920430858
icaNet_dPCC_i1_R,0.6245707596379888,0.0036498814616609883,0.10304755795681032
icaNet_dPCC_i2_L,0.7581662551012063,3.602516785636094e-05,0.07582141681456331
icaNet_dPCC_i2_R,0.881952534996157,0.009889249572132129,0.037609015482533086
icaNet_dPCC_i3_L,0.9283040773571727,0.032720504563230966,0.014511414849406434
icaNet_dPCC_i3_R,0.7249351919085252,0.1100430686401244,0.004122300578678975
icaNet_dPCC_s1_L,0.3838265677724434,0.09868036264815178,0.007616773500147879
icaNet_dPCC_s1_R,6.666656843706337e-05,0.6710298186355288,0.592491715543859
icaNet_dPCC_s2_L,0.8851673775998323,0.0032660838519250296,0.09298330432789315
icaNet_dPCC_s2_R,0.8268025974742312,0.004778605241468431,0.1496011080441667
icaNet_dPCC_s3_L,0.7666782540590251,0.004190168632031895,0.00802453870046585
icaNet_dPCC_s3_R,0.9052076671857777,0.006891831267983327,0.024828581366449744
icaNet_dPCC_s5_L,0.8876654788447355,0.03263174167919398,0.0012190821813790565
icaNet_dPCC_s5_R,0.8367411316214856,0.06949937700551025,0.0004888612623750845
icaNet_pMCC_i1_L,0.7690918713488729,0.03154150820596333,0.2675141724473482
icaNet_pMCC_i1_R,0.778209128027375,0.03322691402146682,0.2621762389583062
icaNet_pMCC_i2_L,0.25409595395509565,0.028605918388661923,0.25461728833459313
icaNet_pMCC_i2_R,0.7396744224346408,0.011422329800097782,0.1320116598946693
icaNet_pMCC_i3_L,0.2370489475719651,0.0014652865956357318,0.04963658033532732
icaNet_pMCC_i3_R,0.348812057589501,0.024467687514530784,0.03536856758914123
icaNet_pMCC_s1_L,0.9047951830369223,0.0025382658261617393,0.1455034496802694
icaNet_pMCC_s1_R,0.8688538533164,0.019442384990845867,0.2011729362129646
icaNet_pMCC_s2_L,0.7730234481753299,0.0943784174467566,0.29436581311500293
icaNet_pMCC_s2_R,0.7295732277259508,0.12911168137232681,0.30529921085696493
icaNet_pMCC_s3_L,0.6107599104118405,0.20094972952347578,0.3105061314568351
icaNet_pMCC_s3_R,0.7639517950143961,0.10196150466071888,0.2431470929980742
icaNet_pgACC_i1_L,0.5808732388865708,0.010305418319998772,0.10063467993434703
icaNet_pgACC_i1_R,0.5120954342067737,0.028009407667712174,0.13995944673683414
icaNet_pgACC_i2_L,0.05647955496071102,0.33253963829791056,0.5423720320199015
icaNet_pgACC_i2_R,0.01940058901904571,0.423839809014444,0.4792670958040213
icaNet_pgACC_s2_L,0.7858403936347724,0.00655606231617011,0.03880485136630087
icaNet_pgACC_s2_R,0.894883482809977,0.002110046187716657,0.0822666086820374
icaNet_pgACC_s3_L,0.35518105712655096,0.30243827007892493,0.39128592053429956
icaNet_pgACC_s3_R,0.43300569789788873,0.2659144368735664,0.49313341310374104
icaNet_sgACC_i1_L,0.6861987322987398,0.10779867177413112,0.010023565733803091
icaNet_sgACC_i1_R,0.7500999534415207,0.08327537488579821,0.006785743557054629
icaNet_sgACC_i2_L,0.7265156797970748,0.08353987321877997,0.0019101058938628156
icaNet_sgACC_i2_R,0.7642837455379322,0.06861920159296846,0.007222417131021786
icaNet_vPCC_i1_L,0.8503355714896788,0.10129124750730265,0.0003613239695805108
icaNet_vPCC_i1_R,0.6255046062985876,0.15732901747289163,0.021023351531373354
icaNet_vPCC_s1_L,0.7116389554714584,0.15029507759600097,0.005801972134363602
icaNet_vPCC_s1_R,0.5121232404866639,0.308953860211829,0.06667065704566147
icaNet_vPCC_s2_L,0.020260447905228726,0.5103762608432021,0.14099590457114253
icaNet_vPCC_s2_R,0.10091231785013487,0.4098913638752567,0.13467023777903464
