,0,1,2
fpp_RSC_L,-0.6916325625253893,0.5238938614538216,-0.068963441688124
fpp_RSC_R,-0.7430806711035789,0.39999600200470337,-0.211829516983284
fpp_aMCC_i1_L,0.04276033430573942,-0.9404141963235,0.18068194918993088
fpp_aMCC_i1_R,-0.05127245285860785,-0.9106488594060816,0.12944639209224784
fpp_aMCC_i2_L,0.34944575567637975,-0.8878521855547313,0.08978794794728064
fpp_aMCC_i2_R,0.29479447530215075,-0.8725136287561691,-0.007608183315420108
fpp_aMCC_i3_L,0.598953102503299,-0.7160330528944419,-0.1062783633912459
fpp_aMCC_i3_R,0.6105469878146322,-0.7128014175964709,-0.13493400610124928
fpp_aMCC_s1_L,0.03703139035829143,-0.9582693126358748,0.32454296499112373
fpp_aMCC_s1_R,-0.31382578206371603,-0.8664080180499545,0.3190659984345389
fpp_aMCC_s2_L,0.2694548226748572,-0.8672127548446357,0.448526312565005
fpp_aMCC_s2_R,0.06405873522620624,-0.8512181069420478,0.543953313923264
fpp_aMCC_s3_L,0.7469049454243385,-0.5766105218822878,0.24843713343808818
fpp_aMCC_s3_R,0.6939111923335293,-0.4454832359892371,0.33364082339071177
fpp_dPCC_i1_L,-0.6167740809654539,-0.5088666521454343,0.1422527036501707
fpp_dPCC_i1_R,-0.6518132450089777,-0.5145637880565211,0.07619134521367782
fpp_dPCC_i2_L,-0.7937229904004133,-0.20686549507758628,0.18496502782936855
fpp_dPCC_i2_R,-0.8167645322382199,-0.09435034164321733,-0.0003526519703498719
fpp_dPCC_i3_L,-0.9097618134804873,0.007043623716857111,0.08363436082891837
fpp_dPCC_i3_R,-0.9096879398330905,0.062185082100289085,-0.0007903718225517267
fpp_dPCC_s1_L,0.07383075974230349,-0.18462955624755642,-0.40164689295891215
fpp_dPCC_s1_R,-0.08124748834535335,-0.1886857718638133,-0.27999128592169
fpp_dPCC_s2_L,-0.7775971920131346,-0.2689526642577035,0.3610463293503861
fpp_dPCC_s2_R,-0.8220745746362329,-0.17619664380711914,0.16734174958683345
fpp_dPCC_s3_L,-0.9079147050129879,0.12703620173511826,0.11847988931040537
fpp_dPCC_s3_R,-0.9019756458878982,0.23132875284923946,0.02934672996547676
fpp_dPCC_s5_L,-0.9082468333364934,0.0937922615941225,-0.022306373790808562
fpp_dPCC_s5_R,-0.9031403733610306,0.2638539775349563,0.03094591639476607
fpp_pMCC_i1_L,0.6107702698739867,-0.5861296752669641,-0.3178738822883732
fpp_pMCC_i1_R,0.6230039986853904,-0.6602080242533961,-0.15583133178544387
fpp_pMCC_i2_L,0.05715426794550138,-0.7753136221849118,-0.19837120056571708
fpp_pMCC_i2_R,0.06145847482919644,-0.6239841624258201,-0.3379065573319768
fpp_pMCC_i3_L,-0.2625501852738412,-0.8250301404079198,0.25182357489658347
fpp_pMCC_i3_R,-0.22475907197085587,-0.7252217882785873,-0.06507404272696131
fpp_pMCC_s1_L,0.9315490751742646,-0.1753459891580745,-0.20753609435156614
fpp_pMCC_s1_R,0.9419118026215846,-0.16562607207688704,-0.11313257409547245
fpp_pMCC_s2_L,0.6230133769070019,-0.3095996211582521,-0.5316813619494738
fpp_pMCC_s2_R,0.8282462974812882,-0.13564026836592635,-0.4385972047909031
fpp_pMCC_s3_L,0.48846430703105087,-0.18101235493619075,-0.4268867273389151
fpp_pMCC_s3_R,0.5041779933716247,0.26577857666696886,-0.5111003730920987
fpp_pgACC_i1_L,-0.3533280241077246,-0.7072488913282979,-0.09015013990597728
fpp_pgACC_i1_R,-0.5430886520694705,-0.6745421189832409,0.0452069635399106
fpp_pgACC_i2_L,-0.29513985013118604,-0.8342494008391017,0.13554723554934178
fpp_pgACC_i2_R,-0.4361061532199416,-0.7465527960235273,0.03746102183744449
fpp_pgACC_s2_L,-0.3266331555779607,-0.8282150393690851,0.09538864421696824
fpp_pgACC_s2_R,-0.7707932902157114,-0.4719180492316059,0.15784402859233249
fpp_pgACC_s3_L,-0.17943197220141666,-0.887840437251428,0.13131525682101475
fpp_pgACC_s3_R,-0.473872385518401,-0.7579881760213698,0.1858788071192796
fpp_sgACC_i1_L,-0.5191571398733257,-0.5573512390791278,-0.06844328681166321
fpp_sgACC_i1_R,-0.6034533756596958,-0.49005828948013025,-0.05616176719903858
fpp_sgACC_i2_L,-0.5723262438189406,-0.5422965554815866,-0.06897606207514326
fpp_sgACC_i2_R,-0.5412907354435699,-0.6503843001474069,0.049184718343855044
fpp_vPCC_i1_L,-0.8121246785433647,0.33159944449026413,-0.1592537369948123
fpp_vPCC_i1_R,-0.899833051418768,0.12052895057367366,-0.07373390876465129
fpp_vPCC_s1_L,-0.8487150456826703,0.2740227188347954,-0.16707895100548423
fpp_vPCC_s1_R,-0.8794671518967121,0.20584645879115945,-0.12619306333879962
fpp_vPCC_s2_L,-0.7140050246896144,0.4263382375928041,-0.1148065809276088
fpp_vPCC_s2_R,-0.7755821698689412,0.3366253463028163,-0.1266478394460936
icaNet_RSC_L,-0.7220576110288002,0.5794441303202422,-0.17048939483762643
icaNet_RSC_R,0.07300525276102567,0.8071794527787896,-0.4788311685901246
icaNet_aMCC_i1_L,0.3419273614035673,-0.7558681230914509,0.6282839607653771
icaNet_aMCC_i1_R,0.28980489399466,-0.7543109177392007,0.6719072786503634
icaNet_aMCC_i2_L,0.7128812451207303,-0.618130979635264,0.3208479173100365
icaNet_aMCC_i2_R,0.6569951904351693,-0.6491748374376335,0.38180394219969527
icaNet_aMCC_i3_L,0.9331546673093288,0.029174072543193565,-0.3760671897435188
