,eigenvalues,p_value,percent_variance_explained
0,9.66632197935205,0.000999000999000999,58.26834897050278
1,3.4518020992907354,0.000999000999000999,20.80737737975378
2,1.0054678328773867,0.000999000999000999,6.060935140569559
3,0.9276167634166227,0.000999000999000999,5.591650826147133
4,0.591822780908566,1.0,3.567493034096645
5,0.3465674719598283,1.0,2.089100119064505
6,0.20757923737003184,1.0,1.2512824906871782
7,0.11090845487022861,1.0,0.6685534131763866
8,0.08331599993676733,1.0,0.5022267796905482
9,0.04308648993392474,1.0,0.25972429190200325
10,0.03640221507671099,1.0,0.21943164896843984
11,0.024776976685825958,1.0,0.14935500049011327
12,0.022112511116655548,1.0,0.13329366817199434
13,0.014170419645596226,1.0,0.08541893790955807
14,0.01385170620764579,1.0,0.08349774121615663
15,0.009598032596119065,1.0,0.05785670226333746
16,0.007263101824201331,1.0,0.043781797523904424
17,0.005945271967252167,1.0,0.03583795185514998
18,0.004963449740974579,1.0,0.02991955184427291
19,0.0038894910713837324,1.0,0.02344575563995787
20,0.0023436341802232645,1.0,0.014127368668677557
21,0.002023705693164821,1.0,0.012198847689410946
22,0.0017899874235339918,1.0,0.010789999761034359
23,0.0014569671065544933,1.0,0.008782561555946804
24,0.0011090362480250643,1.0,0.006685242976480411
25,0.0010526079363724137,1.0,0.0063450945144059735
26,0.0005459568815472281,1.0,0.003291014531151977
27,0.0004974939911724782,1.0,0.0029988814308365627
28,0.00032875906919463535,1.0,0.001981751509205858
29,0.00023365060607939244,1.0,0.0014084400541679572
30,0.00019871514393185992,1.0,0.0011978499554513543
31,9.604194137706483e-05,1.0,0.0005789384388309509
32,6.873158221120621e-05,1.0,0.00041431227163051914
33,5.0237669081081724e-05,1.0,0.00030283142230663903
34,3.118891317029377e-05,1.0,0.0001880059944722849
35,1.8141229302339098e-05,1.0,0.00010935487996370897
36,7.2865872824494485e-06,1.0,4.3923367283307906e-05
37,4.04439378503675e-06,1.0,2.4379505353126118e-05
38,4.957225279657077e-32,1.0,2.988203094594402e-31
39,4.957225279657077e-32,1.0,2.988203094594402e-31
40,4.957225279657077e-32,1.0,2.988203094594402e-31
41,4.957225279657077e-32,1.0,2.988203094594402e-31
42,4.957225279657077e-32,1.0,2.988203094594402e-31
43,4.957225279657077e-32,1.0,2.988203094594402e-31
44,4.957225279657077e-32,1.0,2.988203094594402e-31
45,4.957225279657077e-32,1.0,2.988203094594402e-31
46,4.957225279657077e-32,1.0,2.988203094594402e-31
47,4.957225279657077e-32,1.0,2.988203094594402e-31
48,4.957225279657077e-32,1.0,2.988203094594402e-31
49,4.957225279657077e-32,1.0,2.988203094594402e-31
50,4.957225279657077e-32,1.0,2.988203094594402e-31
51,4.957225279657077e-32,1.0,2.988203094594402e-31
52,4.957225279657077e-32,1.0,2.988203094594402e-31
53,4.957225279657077e-32,1.0,2.988203094594402e-31
54,4.957225279657077e-32,1.0,2.988203094594402e-31
55,4.957225279657077e-32,1.0,2.988203094594402e-31
56,4.957225279657077e-32,1.0,2.988203094594402e-31
57,4.957225279657077e-32,1.0,2.988203094594402e-31
