,0,1,2,3
fpp_RSC_L,-0.6916325626329078,0.5238938627879993,-0.06896327317283604,0.010777764765984032
fpp_RSC_R,-0.7430806711080535,0.3999960022929761,-0.2118293800501866,0.0565362010914618
fpp_aMCC_i1_L,0.042760334506266325,-0.9404141972338972,0.18068178066255472,-0.08234824852205246
fpp_aMCC_i1_R,-0.05127245267273713,-0.9106488600564554,0.1294462538397563,-0.10926720313290976
fpp_aMCC_i2_L,0.34944575583900095,-0.8878521865314517,0.08978776955017355,-0.089858154420341
fpp_aMCC_i2_R,0.2947944754453977,-0.8725136293668897,-0.007608321483547718,-0.10881174296711775
fpp_aMCC_i3_L,0.5989531026265881,-0.7160330539802656,-0.10627850778275955,-0.06838525947130983
fpp_aMCC_i3_R,0.6105469879288853,-0.7128014185552998,-0.134934144494562,-0.00012847474405796783
fpp_aMCC_s1_L,0.03703139050482893,-0.9582693127809904,0.3245428128424223,0.10432993471885689
fpp_aMCC_s1_R,-0.31382578183397525,-0.8664080190625746,0.31906583613967654,0.07316037855802933
fpp_aMCC_s2_L,0.26945482273180726,-0.8672127544405168,0.4485261745125458,0.12242492442685483
fpp_aMCC_s2_R,0.06405873537240092,-0.8512181076201205,0.5439531258462121,0.1840761803184324
fpp_aMCC_s3_L,0.746904945431898,-0.5766105220278277,0.24843700358705803,0.13291985749579255
fpp_aMCC_s3_R,0.6939111923354153,-0.44548323633861986,0.3336406973751224,0.25673374659424136
fpp_dPCC_i1_L,-0.6167740807888753,-0.5088666528164644,0.14225265868459683,0.27477739297700415
fpp_dPCC_i1_R,-0.6518132448180429,-0.5145637887988282,0.07619129960596178,0.1526371259653313
fpp_dPCC_i2_L,-0.7937229903922701,-0.20686549386771014,0.18496512570711846,0.31045770864784566
fpp_dPCC_i2_R,-0.8167645322430056,-0.09435034028358116,-0.00035251591602626436,0.23908935160494432
fpp_dPCC_i3_L,-0.9097618134314077,0.007043624155345049,0.08363443720882927,0.053443236621644484
fpp_dPCC_i3_R,-0.9096879397755793,0.06218508241294531,-0.0007902769014682991,0.08653819919827584
fpp_dPCC_s1_L,0.0738307597584783,-0.18462955609564544,-0.4016468431875022,0.3690146755317438
fpp_dPCC_s1_R,-0.0812474881360773,-0.1886857740867296,-0.2799913624642445,0.4079233984308375
fpp_dPCC_s2_L,-0.7775971920662488,-0.2689526618781052,0.36104640711112723,0.2851322270827231
fpp_dPCC_s2_R,-0.8220745745524937,-0.17619664347456584,0.167341768563912,0.2664830479957668
fpp_dPCC_s3_L,-0.9079147050217488,0.1270362027519142,0.11847998411888784,0.11137157699258744
fpp_dPCC_s3_R,-0.9019756457873866,0.2313287521873995,0.029346768111584435,0.08027932724644815
fpp_dPCC_s5_L,-0.908246833277677,0.09379226185012052,-0.022306293637539092,0.049210209187222104
fpp_dPCC_s5_R,-0.9031403732874578,0.26385397721034287,0.030945972490062555,0.06348474202106462
fpp_pMCC_i1_L,0.6107702699645545,-0.5861296759797785,-0.31787397252807126,-0.1252676285852151
fpp_pMCC_i1_R,0.623003998890122,-0.6602080264565692,-0.15583151578600835,0.06405888639599189
fpp_pMCC_i2_L,0.05715426803544416,-0.7753136217140425,-0.19837123484285904,-0.0568657597803411
fpp_pMCC_i2_R,0.06145847488715977,-0.623984161758725,-0.33790655594893304,-0.0786788088134346
fpp_pMCC_i3_L,-0.2625501851633214,-0.8250301400053502,0.2518235105258217,0.1702892112324153
fpp_pMCC_i3_R,-0.22475907169705214,-0.7252217903300952,-0.06507417535666661,0.14463269378360388
fpp_pMCC_s1_L,0.9315490751262898,-0.17534598940849971,-0.2075361442649849,0.0630874968988981
fpp_pMCC_s1_R,0.9419118025883898,-0.16562607259085504,-0.11313264463548177,0.10990723796271287
fpp_pMCC_s2_L,0.6230133769415389,-0.3095996214997763,-0.5316813777402888,0.0014375759842412106
fpp_pMCC_s2_R,0.8282462974143737,-0.13564026814575086,-0.4385971964225645,0.05696411543144694
fpp_pMCC_s3_L,0.4884643069803496,-0.18101235438983998,-0.42688667518746337,0.28636111591272456
fpp_pMCC_s3_R,0.5041779932660105,0.26577857707026886,-0.5111002792284701,0.2671155261634174
fpp_pgACC_i1_L,-0.35332802396669394,-0.7072488911738333,-0.09015018123000938,-0.14239240247288185
fpp_pgACC_i1_R,-0.5430886518230074,-0.6745421201639125,0.04520686563764784,-0.08752335511963075
fpp_pgACC_i2_L,-0.29513985001674414,-0.8342494003131956,0.13554717879679498,-0.07123625985316273
fpp_pgACC_i2_R,-0.43610615296799377,-0.7465527972767293,0.03746089883192225,-0.07741132061565187
fpp_pgACC_s2_L,-0.3266331553163987,-0.8282150408698501,0.09538850808447966,0.04223503527091076
fpp_pgACC_s2_R,-0.7707932900088946,-0.47191805000130227,0.15784395971436216,0.006990202968728954
fpp_pgACC_s3_L,-0.17943197201266453,-0.8878404378111842,0.1313151382435305,-0.042972707593227945
fpp_pgACC_s3_R,-0.47387238530314346,-0.7579881767434244,0.1858786964612386,0.049024919354719664
fpp_sgACC_i1_L,-0.5191571396736933,-0.5573512398537769,-0.06844336761314072,-0.26275734936834355
fpp_sgACC_i1_R,-0.6034533755004212,-0.4900582896812396,-0.056161814187451205,-0.2791913459338856
fpp_sgACC_i2_L,-0.5723262436373138,-0.5422965559090064,-0.06897611850975344,-0.1724251199813965
fpp_sgACC_i2_R,-0.5412907351817592,-0.6503843015992696,0.04918459274848165,-0.16023219582097925
fpp_vPCC_i1_L,-0.8121246785799019,0.331599445340181,-0.15925357077735836,-0.11122871425426187
