,stress,vision-shape,episodic memory,object recognition,motor,attention,gaze,learning,social,math,language,reward,errors,switching,audition,emotion,speech,reading,conflict,decision-making,semantic,inhibition,LTM,action,reasoning,fear,gustation,WM,motion,pain,sensory,spatial processing
vPCC_i1_L,0.4478232002079231,-0.7258604198523096,0.3979961668123046,-0.44001864653331596,-0.6112456721286028,-0.2510979534383875,-0.5894142705659698,-0.0867603306195839,0.319638767479102,-0.49362984433076773,-0.4613413665553585,0.6546035350590207,0.17508945589102384,-0.352960177373871,-0.7855465576395267,0.43999358017627677,-0.22179922311888464,-0.9748317901177577,0.20035660404877775,0.6394910752202572,0.039855248520187944,0.272241843339265,-0.03834220956734395,-0.7398884125860532,-0.04463238314043185,0.41203754898490624,0.07939439683137704,-0.033381088741307505,-0.876548739422101,0.645716006583863,-0.641021223060816,-0.45724631648577074
RSC_L,0.3776408397924464,-0.5350014057080744,0.8881555713384157,-0.6283482555379467,-0.971626967161135,-0.16818675888452397,-1.0303079556745711,-0.17312700786357813,0.3298863877786599,0.008626732368628275,-1.0008479991524395,0.537617252603583,0.21164096185427358,-0.4457027239707096,-1.241582100297749,0.6529328977362111,-0.3844481587222054,-0.2267038960493371,-0.2256906295011419,0.7985085951047096,-0.5333865084988465,-0.2387540932705161,-0.29206904858925564,-0.7384138818104932,-0.9627322692434446,0.7776138253330893,0.8229885233341026,-0.23622939676223378,-0.5529005541865054,0.27366734292689027,-0.7867489953515082,-0.5451278506551688
pMCC_s3_R,0.4433485895066523,-0.365274126224291,-0.20518363053882285,-0.39779952394816065,-0.3094035461978222,-0.0629542312124496,-0.8339817831177982,-0.21729883218574225,0.07722707871026543,0.08877158979939229,-0.3160344775002954,0.30434325401781875,0.3878804210335139,0.26144389425210773,-0.35680740350844337,0.00037074083356637325,-0.4000030030821712,-0.3108702526536351,0.5720930576924267,0.7747574535241242,-0.4101322759255279,0.5804086888093459,0.1959108558624239,-0.24267721488631744,0.29564125809182323,0.5012332186412842,-0.13124409623741615,0.34903598878110403,-0.7487505157465426,0.7045173551470226,-0.5691237020448341,-0.2044198546268688
dPCC_s1_R,0.5258183210890185,-0.33969826835009265,0.25294247445114526,-0.27762699438958593,1.1032195145582828,-0.17103259843347843,-0.12323036207011136,0.1879091759153284,-0.21907700729589735,-1.0534829626207471,-0.9679480367363461,0.1942187413725672,0.09429316002607221,0.25560491042930716,-0.5980567673446779,0.08120026970670821,-0.2944572695563583,-0.5525485164161451,-0.3299491004836232,0.022385541363573923,-0.3630680146851106,-0.39509242516528614,0.05827008829312534,-0.047361418638684843,-0.10494970466343079,0.1667681387117768,-0.07423203325168796,-0.16859010587205184,-1.058574867091142,0.9190104679715316,-0.08289011939882769,-0.2468345454491949
dPCC_s2_R,0.07658332565177267,-0.8023850527306425,0.16870040505320694,-0.051619536601887346,-0.060226272540206474,-0.16511849003589338,-0.11653904519125115,0.004769530038282838,0.46910770593492107,-0.6829424521612588,-0.07676272312928807,0.174762595269738,-0.02917400900571156,0.03771875675977113,-0.17926370764438343,0.24523440896315354,-0.08947740140702055,-0.30048944291684354,0.04612852974720694,0.020331847801578498,0.11352328357656685,0.5093337663367652,0.3406137285241486,-0.20140078718486196,-0.28817917064121223,0.229341729301492,-0.10020422982088369,-0.06461584843448936,-0.4179472469993824,0.6943976096822925,-0.46161344597092907,-0.3751631573020919
dPCC_s3_R,0.0783099773880077,0.10472685488953153,-0.3724374675846287,-0.34663402093401835,-0.4221520221504843,0.2630901157348877,-0.24135203522457446,-0.19093345316656923,-0.04538437684347663,0.5377688473812555,-0.29195628671965196,0.12183756626169022,0.6104839638337565,0.4100550055850532,-0.3317588701308471,-0.0425133451187745,-0.2295955501073336,-0.018803145759215024,0.814603743203955,0.609750080979841,-0.10386674895482333,0.5800623426045555,0.15221454514109997,-0.3256809241271009,0.17190059199711313,0.39312099651374416,-0.4499348330851346,0.47443720128799627,-0.5674504793982924,0.8225574719941269,-0.3974897518137663,-0.1408619217279067
dPCC_s5_R,0.40006143919240644,-0.5634522592608853,0.19500264601188796,-0.30383751439854295,-0.9261006211725418,-0.09764140879070263,0.10823720736643747,-0.34461205164253017,0.19815594893803584,-0.7235182214894434,-0.7845221505511815,0.7309071894334187,0.3313970464407179,0.09287019060239995,-0.717327185757388,0.3979661730538042,-0.7428810365236426,-0.48136155702756067,0.4209270852878602,0.3986998970814585,-0.23360977155096313,0.9100432944816932,-0.11347771209383516,-0.7595350511023687,0.1590910385827456,0.21783428814003358,0.4870702689211872,0.16565312027960183,-1.1642028116169738,0.34487944851283225,-0.638733974943955,-0.6183180395998208
vPCC_s1_R,0.2366017412611534,-0.2723740166696012,1.2379414912981606,0.16949573569600612,-0.5703393065712561,-0.021355198255594933,-0.1224958514304936,-0.13354911502360378,0.6415042346206162,0.16695098328859648,-0.23178018471818912,0.2643582754531194,0.27831112267824926,-0.34911536526911924,-0.21223770100558575,-0.034915222138020535,-0.23933637004616207,-0.4053954070726479,-0.26472379173539706,0.12679215248633743,0.03487273153596117,-0.2975068724228073,0.2340439117802745,-0.5797030194571422,-1.0876892782496483,0.020166200323770412,-0.2037887886237155,-0.027738510275254733,-0.482562396343466,-0.2656701569071323,0.091880073485997,-0.1547423637304374
vPCC_s2_R,0.0736485292080567,-0.47119125497724373,0.4315275989819921,0.06231654745590567,1.0376245266161777,-0.14572631249791868,0.40442141293929423,0.13074914961092957,0.16232592959985848,-0.3215516529821229,-0.8648330391806436,0.09905291109573527,0.4131968684256339,-0.10931530004978113,-0.7568138437519362,-0.0728537901508286,-0.3351583442971522,-0.36604652262475135,-0.25119794310258997,-0.04361019689065326,-0.044908638552151076,-0.2134369369563307,0.19531162702902416,0.202281053651038,-0.11203637431941074,-0.15349607770788054,-1.3157398937079792,-0.07869750493321429,-0.5986277841706252,0.2634070224472781,-0.029390355529755836,0.2464745853124898
pMCC_s3_L,-0.11029166821548336,-0.3327004784138002,0.4856618327167146,-0.017427089666367884,-0.5666378440211568,-0.05221802021221084,-0.2755963635850074,-0.466404027807788,0.06517294730566792,-0.19212604667500624,-0.11424317523839383,-0.20560665285586968,-0.11013687002838013,0.19243168419386283,-0.32458454531709513,-0.010582570663418233,-0.5358061694394809,-0.5323350491052492,-0.18753833776440218,0.3320195657130953,0.18333487654459213,0.049651526028483724,0.38654447102584527,0.032042850166664694,0.027518856580497433,-0.2507250134421885,-0.27053286832677587,0.28623105050689657,-0.8648366167015953,0.16474692182310302,-0.4568723026172202,-0.21858014906086407
