,0,1,2,3
fpp_RSC_L,-0.6916325625775513,0.5238938639708899,-0.06896332326843381,0.01077813813124219
fpp_RSC_R,-0.7430806710762137,0.39999600347608755,-0.21182939554852476,0.05653665747830945
fpp_aMCC_i1_L,0.042760334384393056,-0.9404141972801577,0.18068190019971891,-0.08234753665559613
fpp_aMCC_i1_R,-0.051272452797689556,-0.9106488599440667,0.12944638062531497,-0.10926637228246437
fpp_aMCC_i2_L,0.3494457557293638,-0.8878521870218481,0.08978787804768316,-0.08985774285672699
fpp_aMCC_i2_R,0.29479447534058956,-0.8725136298256287,-0.007608212578677575,-0.10881135275735401
fpp_aMCC_i3_L,0.5989531025423735,-0.7160330549641104,-0.1062784171808133,-0.0683853224241964
fpp_aMCC_i3_R,0.6105469878484989,-0.7128014195643749,-0.13493405634589467,-0.0001286041776740311
fpp_aMCC_s1_L,0.03703139037826223,-0.9582693127790783,0.3245429299956279,0.10433060696909342
fpp_aMCC_s1_R,-0.3138257819640686,-0.8664080184798207,0.31906596144040855,0.07316142470535626
fpp_aMCC_s2_L,0.26945482262163695,-0.8672127546921922,0.44852626254867,0.12242532169319795
fpp_aMCC_s2_R,0.06405873523813789,-0.8512181074568201,0.5439532373399107,0.18407691520124828
fpp_aMCC_s3_L,0.7469049453544337,-0.5766105231260017,0.2484370645386852,0.1329195365029893
fpp_aMCC_s3_R,0.69391119225472,-0.4454832372977842,0.33364075844453994,0.25673342224188916
fpp_dPCC_i1_L,-0.616774080877663,-0.5088666517475249,0.14225275005722782,0.27477831696609994
fpp_dPCC_i1_R,-0.6518132449010737,-0.5145637877122137,0.07619138891961584,0.15263810660678712
fpp_dPCC_i2_L,-0.7937229904106687,-0.2068654924933634,0.18496513782412544,0.31045834639111763
fpp_dPCC_i2_R,-0.816764532245099,-0.09435033900183842,-0.0003525092528794969,0.23908989241945106
fpp_dPCC_i3_L,-0.9097618134329387,0.007043625740393786,0.08363443920293563,0.053444131712527466
fpp_dPCC_i3_R,-0.9096879397694915,0.062185083875283584,-0.0007902765512087745,0.08653893470045927
fpp_dPCC_s1_L,0.07383075973919957,-0.18462955631951827,-0.401646799645844,0.3690144290068746
fpp_dPCC_s1_R,-0.08124748817080621,-0.18868577414189353,-0.2799913063266118,0.40792332142407167
fpp_dPCC_s2_L,-0.7775971920741196,-0.26895266053593453,0.3610464001429129,0.2851329304566529
fpp_dPCC_s2_R,-0.8220745745765498,-0.17619664207736108,0.16734179177630082,0.2664838822937714
fpp_dPCC_s3_L,-0.9079147049866889,0.1270362043603896,0.1184799449619801,0.1113723024424435
fpp_dPCC_s3_R,-0.9019756457737925,0.2313287537231283,0.029346761322150357,0.08028014225178538
fpp_dPCC_s5_L,-0.9082468332618385,0.09379226334375068,-0.02230630242440107,0.04921098873203429
fpp_dPCC_s5_R,-0.9031403732666896,0.2638539787303408,0.03094595712911315,0.06348551562625926
fpp_pMCC_i1_L,0.6107702699030827,-0.5861296771489594,-0.3178738940321948,-0.12526790792259407
fpp_pMCC_i1_R,0.6230039988096302,-0.6602080276398878,-0.15583142449818374,0.0640585899206422
fpp_pMCC_i2_L,0.057154267939936165,-0.7753136219596586,-0.1983711204882147,-0.05686533099421361
fpp_pMCC_i2_R,0.06145847480440393,-0.6239841620390765,-0.33790644576455847,-0.07867844239950904
fpp_pMCC_i3_L,-0.2625501852681969,-0.8250301394980154,0.251823609172467,0.17028997540184806
fpp_pMCC_i3_R,-0.2247590717836953,-0.7252217899829098,-0.06507407921968204,0.14463326269468485
fpp_pMCC_s1_L,0.9315490751103402,-0.1753459909863578,-0.20753612327449444,0.06308659609617187
fpp_pMCC_s1_R,0.9419118025683735,-0.16562607418205444,-0.11313262420247028,0.10990631011325513
fpp_pMCC_s2_L,0.6230133769251653,-0.3095996228434551,-0.5316813322110536,0.001436880366722792
fpp_pMCC_s2_R,0.8282462974153536,-0.13564026966107118,-0.4385971792354349,0.056963172618633984
fpp_pMCC_s3_L,0.48846430696832616,-0.18101235536349317,-0.42688664166707724,0.2863604031134306
fpp_pMCC_s3_R,0.5041779933292845,0.26577857604003785,-0.5111003229545775,0.2671143940015095
fpp_pgACC_i1_L,-0.3533280240371404,-0.7072488906942621,-0.09015009802350876,-0.1423916037965972
fpp_pgACC_i1_R,-0.5430886519142081,-0.6745421193553601,0.0452069655490349,-0.08752231906135845
fpp_pgACC_i2_L,-0.2951398501091098,-0.8342493998027877,0.1355472699094495,-0.0712354091207499
fpp_pgACC_i2_R,-0.4361061530707416,-0.7465527966113696,0.037461011297749765,-0.07741027667938787
fpp_pgACC_s2_L,-0.32663315543539423,-0.8282150403453317,0.09538863168591319,0.04223594595776989
fpp_pgACC_s2_R,-0.7707932900895573,-0.4719180487339891,0.15784404567770827,0.006991433319463972
fpp_pgACC_s3_L,-0.17943197212396667,-0.8878404375075456,0.13131525058974122,-0.04297188224074431
fpp_pgACC_s3_R,-0.47387238540448623,-0.7579881759796567,0.18587879958749237,0.04902593407617829
fpp_sgACC_i1_L,-0.5191571397535495,-0.5573512390133766,-0.06844327128282453,-0.2627561558446993
fpp_sgACC_i1_R,-0.603453375569747,-0.49005828871228646,-0.05616172911789476,-0.2791901222695483
fpp_sgACC_i2_L,-0.5723262437007071,-0.5422965550315326,-0.0689760396735203,-0.17242405810723505
fpp_sgACC_i2_R,-0.541290735283526,-0.6503843007273983,0.04918470605915963,-0.16023096243089696
fpp_vPCC_i1_L,-0.812124678545345,0.33159944668967684,-0.15925359390227822,-0.11122811635014568
